Gene	Gene_id	x	y	neighbour	neighbour_array	neighbour_prob
Satb1	33	4427	493	2241	[2245, 2248, 2241, 0]	[1.0595120210287646e-09, 2.5719239300806568e-25, 0.9937439398442697, 0.006256059096218347]
Satb1	33	4427	489	2241	[2241, 2248, 2245, 0]	[0.9977722924794974, 6.210182149335923e-26, 2.4296368259784762e-12, 0.0022277075180727975]
3110035E14Rik	0	4427	446	0	[2241, 2248, 2259, 0]	[2.9427893977973716e-46, 4.886261073102433e-73, 6.893169726951123e-05, 0.9999310683027305]
Aldoc	1	4430	484	2241	[2241, 2248, 2245, 0]	[0.9893293187302105, 2.5179536642723953e-21, 6.160312726258135e-13, 0.010670681269173489]
Cplx2	8	4431	426	0	[2259, 2241, 2248, 0]	[4.7286375667709477e-07, 2.7253936762579733e-99, 7.777075670703662e-116, 0.9999995271362434]
Lamp5	19	4432	429	0	[2259, 2241, 2248, 0]	[1.2623042526214959e-05, 1.1129334601454063e-89, 1.3110045085468318e-104, 0.9999873769574739]
3110035E14Rik	0	4437	338	2238	[2238, 2261, 2277, 0]	[0.9941721421494849, 4.3425392896789945e-09, 1.3153847839322404e-261, 0.005827853507975889]
Cnr1	7	4441	500	2245	[2245, 2248, 2241, 0]	[0.9974725973823205, 3.042883242719712e-11, 1.0077523701549704e-11, 0.002527402577173006]
Fam19a1	13	4443	497	2245	[2248, 2245, 2241, 0]	[2.8032298617090675e-08, 0.9962499162772183, 5.20323328990844e-12, 0.0037500556852799686]
Pvalb	29	4443	339	2238	[2238, 2277, 2261, 0]	[0.9944972113308943, 1.7090420200951687e-229, 0.00032215419942491474, 0.005180634469680687]
Aldoc	1	4448	465	0	[2248, 2241, 2259, 0]	[3.0713578074834844e-10, 2.612932002564105e-23, 4.7324227249236115e-05, 0.999952675465615]
Cplx2	8	4449	449	2259	[2259, 2248, 2241, 0]	[0.784501087869768, 1.606169274997444e-31, 5.1791887953388076e-49, 0.21549891213023195]
Cplx2	8	4449	439	2259	[2259, 2241, 2248, 0]	[0.9254473257821582, 6.26300798811924e-71, 1.7111581301738568e-51, 0.0745526742178419]
3110035E14Rik	0	4452	344	2261	[2238, 2277, 2261, 0]	[6.936204549696723e-06, 1.8738708397871068e-190, 0.9969301778991922, 0.003062885896258218]
Id2	15	4453	488	2248	[2248, 2245, 2262, 0]	[0.9851396124467193, 7.220006556657673e-08, 5.058962011288507e-07, 0.014859809457014313]
Id2	15	4454	442	2259	[2259, 2248, 2241, 0]	[0.9972071377208319, 5.5295972874276264e-42, 4.957969851571772e-72, 0.002792862279168105]
Id2	15	4455	443	2259	[2259, 2248, 2241, 0]	[0.9972014577480929, 2.3355834028372163e-39, 2.1245083979130652e-71, 0.002798542251907189]
Cplx2	8	4456	411	0	[2259, 2279, 2241, 0]	[5.209907410241602e-05, 9.027969177714411e-05, 1.7640478868212983e-165, 0.9998576212341205]
3110035E14Rik	0	4458	448	2259	[2259, 2248, 2269, 0]	[0.7689662829338787, 2.455909486476849e-27, 1.0882167004569913e-35, 0.23103371706612133]
Zcchc12	40	4458	353	0	[2238, 2277, 2259, 0]	[8.164033153874886e-15, 7.245834938281172e-175, 2.1410854244574834e-58, 0.9999999999999918]
Rorb	32	4459	478	2248	[2248, 2269, 2262, 0]	[0.9821973417863143, 7.15938833852575e-20, 2.002427747322254e-10, 0.01780265801344299]
Gad1	14	4460	430	2259	[2259, 2269, 2248, 0]	[0.9987107397510687, 4.082903040675282e-58, 2.4022218628463282e-65, 0.0012892602489311862]
Nrsn1	25	4460	425	2259	[2259, 2279, 2269, 0]	[0.9795484405692044, 2.674878760332932e-09, 4.5856386639732605e-65, 0.020451556755916925]
Gad1	14	4461	436	2259	[2259, 2248, 2269, 0]	[0.9994897599700691, 1.799430085863286e-51, 2.0239506004359454e-48, 0.0005102400299309256]
Id2	15	4463	425	2259	[2259, 2279, 2269, 0]	[0.9939789491067114, 2.815781118541585e-10, 9.10921486921071e-62, 0.006021050611710393]
Arpp21	2	4464	500	2262	[2262, 2248, 2245, 0]	[0.9201895193652448, 1.85453470443179e-10, 1.3018109514297086e-16, 0.07981048044930145]
Kit	18	4464	439	2259	[2259, 2269, 2248, 0]	[0.9772935435782866, 2.175613548889478e-39, 5.484352911235914e-43, 0.022706456421713372]
Gad1	14	4464	431	2259	[2259, 2269, 2279, 0]	[0.9994058884396566, 1.0243934318089788e-51, 5.1361417895519546e-12, 0.0005941115552071887]
Gad1	14	4465	430	2259	[2259, 2279, 2269, 0]	[0.9993537419832609, 1.758613365274679e-11, 5.757985929420879e-52, 0.0006462579991529472]
Gad1	14	4466	439	2259	[2259, 2269, 2248, 0]	[0.9993624264501881, 2.1646422687953548e-38, 2.770319438897093e-44, 0.0006375735498118313]
Id2	15	4467	436	2259	[2259, 2269, 2248, 0]	[0.9992333536579079, 3.237226304708655e-41, 4.782877307033967e-50, 0.0007666463420920133]
Cux2	11	4470	440	2259	[2259, 2269, 2248, 0]	[0.9632552832495381, 2.0067790930293243e-31, 3.0323273902345736e-41, 0.03674471675046176]
Gad1	14	4471	430	2259	[2259, 2279, 2269, 0]	[0.9993921626831757, 2.2808991340236873e-10, 2.997816289134238e-45, 0.0006078370887344795]
Satb1	33	4471	363	2279	[2277, 2279, 2259, 0]	[1.5047315408841034e-142, 0.7153144266739222, 6.915436108784729e-40, 0.28468557332607786]
3110035E14Rik	0	4472	491	2262	[2262, 2248, 2269, 0]	[0.9634973690244965, 2.0947306603778305e-11, 1.6682762318559674e-11, 0.03650263093787366]
Gad1	14	4472	427	2259	[2259, 2279, 2269, 0]	[0.9990180074273373, 3.561601077877695e-09, 1.3534454894206575e-48, 0.0009819890110616244]
Cplx2	8	4475	466	0	[2269, 2259, 2248, 0]	[2.2985503237188817e-06, 4.342800938713817e-09, 5.778497159940607e-12, 0.9999976971010969]
Gad1	14	4475	435	2259	[2259, 2269, 2279, 0]	[0.9987447766400892, 3.684022128834899e-34, 9.280408770857014e-11, 0.0012552232671067544]
Gad1	14	4476	438	2259	[2259, 2269, 2279, 0]	[0.9968562326002022, 3.604815651294557e-29, 4.4028871706644025e-11, 0.003143767355768917]
